,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden,params_leave_layers,params_lr,params_weight_decay,state
237,237,0.9064,2023-02-08 18:47:34.935773,2023-02-08 19:44:10.283694,0 days 00:56:35.347921,64,1140,51,0.00375,0.0,COMPLETE
238,238,0.906,2023-02-08 18:49:52.991923,2023-02-08 19:49:53.152672,0 days 01:00:00.160749,64,2000,51,0.00375,0.0,COMPLETE
239,239,0.8725,2023-02-08 18:56:23.210278,2023-02-08 19:04:10.990861,0 days 00:07:47.780583,64,1140,51,0.00375,0.0,PRUNED
240,240,0.8595,2023-02-08 19:04:11.042752,2023-02-08 19:08:08.040663,0 days 00:03:56.997911,64,1980,54,0.00375,0.0,PRUNED
241,241,0.8826,2023-02-08 19:06:58.706375,2023-02-08 19:14:37.098155,0 days 00:07:38.391780,64,2100,51,0.00375,0.0,PRUNED
242,242,0.8604,2023-02-08 19:08:08.086639,2023-02-08 19:12:02.768368,0 days 00:03:54.681729,64,2100,51,0.00375,0.0,PRUNED
243,243,0.8605,2023-02-08 19:12:02.816706,2023-02-08 19:15:58.591780,0 days 00:03:55.775074,64,1140,51,0.00375,0.0,PRUNED
244,244,0.9091,2023-02-08 19:14:37.156019,2023-02-08 20:15:32.323038,0 days 01:00:55.167019,64,2020,47,0.00375,0.0,COMPLETE
245,245,0.9002,2023-02-08 19:15:58.632964,2023-02-08 20:19:16.285682,0 days 01:03:17.652718,64,2020,47,0.00375,0.0,COMPLETE
246,246,0.8675,2023-02-08 19:16:28.294808,2023-02-08 19:24:27.836439,0 days 00:07:59.541631,64,1900,54,0.00375,0.0,PRUNED
247,247,0.8457,2023-02-08 19:24:26.523281,2023-02-08 19:28:35.767014,0 days 00:04:09.243733,64,2020,54,0.00375,4e-05,PRUNED
248,248,,2023-02-08 19:24:27.908627,,,64,1220,47,0.00375,0.0,RUNNING
249,249,0.905,2023-02-08 19:28:35.805124,2023-02-08 20:31:51.005725,0 days 01:03:15.200601,64,1340,46,0.00375,0.0,COMPLETE
250,250,0.9076,2023-02-08 19:39:30.554442,2023-02-08 20:42:05.148289,0 days 01:02:34.593847,64,1220,47,0.00375,0.0,COMPLETE
251,251,0.5424,2023-02-08 19:44:10.321844,2023-02-08 19:47:51.687474,0 days 00:03:41.365630,64,1220,46,0.115,0.0,PRUNED
252,252,0.8764,2023-02-08 19:47:51.729439,2023-02-08 19:55:18.704063,0 days 00:07:26.974624,64,1260,47,0.00375,0.0,PRUNED
253,253,0.8726,2023-02-08 19:49:53.198046,2023-02-08 19:58:09.259571,0 days 00:08:16.061525,64,1260,47,0.00375,0.0,PRUNED
254,254,0.8144,2023-02-08 19:55:18.745111,2023-02-08 19:56:39.764820,0 days 00:01:21.019709,256,1340,47,0.00375,0.0,PRUNED
255,255,0.4975,2023-02-08 19:56:39.806517,2023-02-08 20:00:31.370680,0 days 00:03:51.564163,64,1180,49,0.15,0.0,PRUNED
256,256,0.8195,2023-02-08 19:58:09.314024,2023-02-08 20:02:03.564374,0 days 00:03:54.250350,64,1200,44,0.00375,0.0,PRUNED
257,257,,2023-02-08 20:00:31.409181,,,64,1200,44,0.00375,0.0,RUNNING
258,258,0.852,2023-02-08 20:02:03.633973,2023-02-08 20:07:24.006945,0 days 00:05:20.372972,64,1200,46,0.00375,0.0,PRUNED
259,259,0.8789,2023-02-08 20:07:24.034740,2023-02-08 20:17:59.853189,0 days 00:10:35.818449,64,2200,44,0.00375,0.0,PRUNED
260,260,0.8567,2023-02-08 20:15:32.359683,2023-02-08 20:20:28.796443,0 days 00:04:56.436760,64,2060,49,0.00375,0.0,PRUNED
261,261,0.7747,2023-02-08 20:17:59.904298,2023-02-08 20:19:08.644342,0 days 00:01:08.740044,512,2080,53,0.00375,0.0,PRUNED
262,262,,2023-02-08 20:19:08.696147,,,64,2060,49,0.00375,0.0,RUNNING
263,263,0.8552,2023-02-08 20:19:16.312891,2023-02-08 20:23:49.594190,0 days 00:04:33.281299,64,2040,49,0.00375,0.0,PRUNED
264,264,,2023-02-08 20:20:28.846070,,,64,2140,49,0.00375,0.0,RUNNING
265,265,0.8816,2023-02-08 20:23:49.648309,2023-02-08 20:40:03.897636,0 days 00:16:14.249327,64,2160,53,0.00375,0.0,PRUNED
266,266,0.8755,2023-02-08 20:31:51.050958,2023-02-08 20:38:04.274111,0 days 00:06:13.223153,64,2160,40,0.00375,0.0,PRUNED
267,267,0.8401,2023-02-08 20:38:04.310373,2023-02-08 20:42:28.824125,0 days 00:04:24.513752,64,2120,53,0.00375,0.0,PRUNED
268,268,,2023-02-08 20:40:03.959517,,,64,1940,49,0.00375,0.0,RUNNING
269,269,0.8839,2023-02-08 20:42:05.172438,2023-02-08 20:49:58.882751,0 days 00:07:53.710313,64,2120,43,0.00375,0.0,PRUNED
270,270,0.8429,2023-02-08 20:42:28.868705,2023-02-08 20:47:33.821878,0 days 00:05:04.953173,64,1960,59,0.00375,0.0,PRUNED
271,271,0.8594,2023-02-08 20:47:33.863373,2023-02-08 20:51:25.166472,0 days 00:03:51.303099,64,1280,43,0.00375,4e-08,PRUNED
272,272,0.8624,2023-02-08 20:49:58.906687,2023-02-08 20:55:45.368806,0 days 00:05:46.462119,64,1280,50,0.00375,4e-08,PRUNED
273,273,0.8638,2023-02-08 20:51:25.193206,2023-02-08 21:00:36.233596,0 days 00:09:11.040390,64,2220,50,0.00375,4e-06,PRUNED
274,274,0.8534,2023-02-08 20:55:45.410161,2023-02-08 20:59:18.633896,0 days 00:03:33.223735,64,1040,49,0.00375,4e-06,PRUNED
275,275,,2023-02-08 20:59:18.683903,,,64,1100,49,0.00375,4e-05,RUNNING
276,276,,2023-02-08 21:00:36.276074,,,64,1100,46,0.00375,0.0,RUNNING
277,277,0.9088,2023-02-08 21:03:29.350962,2023-02-08 22:34:28.871029,0 days 01:30:59.520067,64,1100,46,0.00375,0.0,COMPLETE
278,278,0.8532,2023-02-08 21:03:29.383542,2023-02-08 21:11:37.270147,0 days 00:08:07.886605,64,1240,45,0.00375,0.0,PRUNED
279,279,0.9094,2023-02-08 21:03:29.405692,2023-02-08 22:36:21.210545,0 days 01:32:51.804853,64,1520,45,0.00375,0.0,COMPLETE
280,280,0.8488,2023-02-08 21:03:29.425776,2023-02-08 21:17:49.352298,0 days 00:14:19.926522,64,1520,46,0.00375,0.0,PRUNED
281,281,0.9093,2023-02-08 21:03:29.446414,2023-02-08 22:37:14.375288,0 days 01:33:44.928874,64,1100,45,0.00375,0.0,COMPLETE
282,282,0.8834,2023-02-08 21:03:29.467859,2023-02-08 21:18:48.481111,0 days 00:15:19.013252,64,1520,45,0.00375,0.0,PRUNED
283,283,0.911,2023-02-08 21:03:29.488302,2023-02-08 22:35:11.112954,0 days 01:31:41.624652,64,1160,46,0.00375,0.0,COMPLETE
284,284,0.8771,2023-02-08 21:03:29.514669,2023-02-08 21:18:51.952100,0 days 00:15:22.437431,64,1100,45,0.00375,0.0,PRUNED
285,285,0.8586,2023-02-08 21:11:37.346872,2023-02-08 21:20:08.160461,0 days 00:08:30.813589,64,1080,48,0.00375,4e-05,PRUNED
286,286,0.8629,2023-02-08 21:17:49.377919,2023-02-08 21:27:29.509754,0 days 00:09:40.131835,64,1100,54,0.00375,0.0,PRUNED
287,287,0.828,2023-02-08 21:18:48.545660,2023-02-08 21:22:36.235067,0 days 00:03:47.689407,256,1160,48,0.00375,4e-05,PRUNED
288,288,0.7511,2023-02-08 21:18:51.989051,2023-02-08 21:22:37.058986,0 days 00:03:45.069935,256,1140,54,0.00375,0.0,PRUNED
289,289,0.1046,2023-02-08 21:20:08.193236,2023-02-08 21:23:47.186951,0 days 00:03:38.993715,256,1160,54,0.115,0.0,PRUNED
290,290,0.5926,2023-02-08 21:22:36.273870,2023-02-08 21:30:50.855377,0 days 00:08:14.581507,64,1220,54,0.15,0.0,PRUNED
291,291,0.5609,2023-02-08 21:22:37.102228,2023-02-08 21:30:44.701219,0 days 00:08:07.598991,64,2080,52,0.115,0.0,PRUNED
292,292,0.4933,2023-02-08 21:23:47.222552,2023-02-08 21:31:47.237016,0 days 00:08:00.014464,64,1220,52,0.15,0.0,PRUNED
293,293,0.8767,2023-02-08 21:27:29.536499,2023-02-08 21:40:51.987191,0 days 00:13:22.450692,64,1200,52,0.00375,0.0,PRUNED
294,294,,2023-02-08 21:30:44.748774,,,64,1220,42,0.00375,4e-08,RUNNING
295,295,0.8375,2023-02-08 21:30:50.883531,2023-02-08 21:35:13.502684,0 days 00:04:22.619153,128,2520,49,0.00375,4e-08,PRUNED
296,296,0.8418,2023-02-08 21:31:47.294057,2023-02-08 21:36:20.228241,0 days 00:04:32.934184,128,1180,49,0.00375,4e-08,PRUNED
297,297,0.8564,2023-02-08 21:35:13.536997,2023-02-08 21:53:20.913570,0 days 00:18:07.376573,16,1300,41,0.00375,0.0,PRUNED
298,298,0.8305,2023-02-08 21:36:20.257870,2023-02-08 21:54:40.943429,0 days 00:18:20.685559,16,1380,41,0.00375,0.0,PRUNED
299,299,0.8549,2023-02-08 21:40:52.043894,2023-02-08 21:58:05.255880,0 days 00:17:13.211986,16,1900,42,0.00375,0.0,PRUNED
300,300,0.8613,2023-02-08 21:53:20.941506,2023-02-08 22:00:09.895516,0 days 00:06:48.954010,64,1880,47,0.00375,0.0,PRUNED
301,301,0.8422,2023-02-08 21:54:41.157329,2023-02-08 22:01:50.842432,0 days 00:07:09.685103,64,1920,47,0.00375,0.0,PRUNED
302,302,0.738,2023-02-08 21:58:05.318763,2023-02-08 21:59:46.377121,0 days 00:01:41.058358,512,1260,47,0.00375,0.0,PRUNED
303,303,0.8836,2023-02-08 21:59:46.429032,2023-02-08 22:12:52.932615,0 days 00:13:06.503583,64,1620,50,0.00375,0.0,PRUNED
304,304,0.8557,2023-02-08 22:00:09.950486,2023-02-08 22:06:58.797806,0 days 00:06:48.847320,64,2040,50,0.00375,0.0,PRUNED
305,305,0.8734,2023-02-08 22:01:50.871491,2023-02-08 22:15:27.139615,0 days 00:13:36.268124,64,1760,50,0.00375,0.0,PRUNED
306,306,0.9005,2023-02-08 22:06:58.826974,2023-02-08 23:12:40.777895,0 days 01:05:41.950921,64,2560,44,0.00375,0.0,COMPLETE
307,307,0.8601,2023-02-08 22:12:52.965536,2023-02-08 22:19:23.258819,0 days 00:06:30.293283,64,2200,44,0.00375,0.0,PRUNED
308,308,0.8784,2023-02-08 22:15:27.186453,2023-02-08 22:28:30.294294,0 days 00:13:03.107841,64,2200,45,0.00375,4e-08,PRUNED
309,309,0.8542,2023-02-08 22:19:23.295485,2023-02-08 22:30:56.787347,0 days 00:11:33.491862,64,1320,52,0.00375,4e-08,PRUNED
310,310,0.8556,2023-02-08 22:28:30.381856,2023-02-08 22:32:29.245325,0 days 00:03:58.863469,64,2120,52,0.00375,0.0,PRUNED
311,311,0.6861,2023-02-08 22:30:56.831237,2023-02-08 22:34:51.423572,0 days 00:03:54.592335,64,2140,56,0.075,0.0,PRUNED
312,312,0.66,2023-02-08 22:32:29.294547,2023-02-08 22:36:19.089923,0 days 00:03:49.795376,64,1960,48,0.075,0.0,PRUNED
313,313,0.7042,2023-02-08 22:34:28.914112,2023-02-08 22:38:17.266812,0 days 00:03:48.352700,64,1240,48,0.075,0.0,PRUNED
314,314,0.8755,2023-02-08 22:34:51.613506,2023-02-08 22:42:24.421114,0 days 00:07:32.807608,64,1240,48,0.00375,0.0,PRUNED
315,315,0.8474,2023-02-08 22:35:11.178248,2023-02-08 22:39:01.835693,0 days 00:03:50.657445,64,1000,48,0.00375,0.0,PRUNED
316,316,0.8755,2023-02-08 22:36:19.132737,2023-02-08 22:43:34.185183,0 days 00:07:15.052446,64,2420,38,0.00375,0.0,PRUNED
317,317,0.8488,2023-02-08 22:36:21.255604,2023-02-08 22:40:06.843880,0 days 00:03:45.588276,64,1700,39,0.00375,0.0,PRUNED
318,318,0.8743,2023-02-08 22:37:14.432299,2023-02-08 22:44:56.557672,0 days 00:07:42.125373,64,1700,43,0.00375,0.0,PRUNED
319,319,0.8748,2023-02-08 22:38:17.306065,2023-02-08 22:45:35.579606,0 days 00:07:18.273541,64,1020,42,0.00375,0.0,PRUNED
320,320,0.9056,2023-02-08 22:39:02.016560,2023-02-08 23:34:41.714380,0 days 00:55:39.697820,64,1740,44,0.00375,0.0,COMPLETE
321,321,0.8729,2023-02-08 22:40:06.876699,2023-02-08 22:47:51.773996,0 days 00:07:44.897297,64,1440,43,0.00375,4e-08,PRUNED
322,322,0.8794,2023-02-08 22:42:24.476454,2023-02-08 22:49:52.440301,0 days 00:07:27.963847,64,1180,43,0.00375,4e-08,PRUNED
323,323,0.9036,2023-02-08 22:43:34.232834,2023-02-08 23:41:29.821027,0 days 00:57:55.588193,64,2680,43,0.00375,4e-08,COMPLETE
324,324,0.8843,2023-02-08 22:44:56.636901,2023-02-08 22:53:13.378063,0 days 00:08:16.741162,64,2680,43,0.00375,4e-08,PRUNED
325,325,0.8414,2023-02-08 22:45:35.618993,2023-02-08 22:49:21.804874,0 days 00:03:46.185881,64,1160,44,0.00375,4e-08,PRUNED
326,326,0.9137,2023-02-08 22:47:51.807887,2023-02-08 23:45:59.348749,0 days 00:58:07.540862,64,1160,50,0.00375,0.0,COMPLETE
327,327,,2023-02-08 22:49:21.878379,,,64,1180,50,0.00375,0.0,RUNNING
328,328,0.7844,2023-02-08 22:49:52.484590,2023-02-08 22:50:54.888838,0 days 00:01:02.404248,512,2600,50,0.00375,0.0,PRUNED
329,329,0.8835,2023-02-08 22:50:54.958076,2023-02-08 22:58:20.868111,0 days 00:07:25.910035,64,1280,46,0.00375,0.0,PRUNED
330,330,0.8499,2023-02-08 22:53:13.436190,2023-02-08 22:57:08.667650,0 days 00:03:55.231460,64,1140,46,0.00375,0.0,PRUNED
331,331,0.8602,2023-02-08 22:57:08.701189,2023-02-08 23:01:09.490700,0 days 00:04:00.789511,64,2260,50,0.00375,0.0,PRUNED
332,332,0.9101,2023-02-08 22:58:20.953274,2023-02-08 23:54:50.078873,0 days 00:56:29.125599,64,1180,50,0.00375,4e-06,COMPLETE
333,333,0.835,2023-02-08 23:01:09.559504,2023-02-08 23:05:10.381664,0 days 00:04:00.822160,64,2320,50,0.00375,0.0,PRUNED
334,334,0.8471,2023-02-08 23:05:10.449878,2023-02-08 23:10:42.503530,0 days 00:05:32.053652,64,1200,80,0.00375,4e-06,PRUNED
335,335,0.8633,2023-02-08 23:10:42.558290,2023-02-08 23:14:50.315121,0 days 00:04:07.756831,64,2080,52,0.00375,4e-05,PRUNED
336,336,0.856,2023-02-08 23:12:40.844930,2023-02-08 23:16:36.626861,0 days 00:03:55.781931,64,1320,53,0.00375,0.0,PRUNED
337,337,0.8636,2023-02-08 23:14:50.370398,2023-02-08 23:18:46.455907,0 days 00:03:56.085509,64,1640,49,0.00375,0.0,PRUNED
338,338,0.8604,2023-02-08 23:16:36.671912,2023-02-08 23:20:28.427065,0 days 00:03:51.755153,64,1180,49,0.00375,0.0,PRUNED
339,339,0.9082,2023-02-08 23:18:46.502893,2023-02-09 00:16:16.364237,0 days 00:57:29.861344,64,1060,46,0.00375,0.0,COMPLETE
340,340,0.5637,2023-02-08 23:20:28.477472,2023-02-08 23:24:18.816330,0 days 00:03:50.338858,64,2160,46,0.115,0.0,PRUNED
341,341,0.851,2023-02-08 23:24:18.872274,2023-02-08 23:28:11.868598,0 days 00:03:52.996324,64,1060,51,0.00375,0.0,PRUNED
342,342,0.8537,2023-02-08 23:28:11.946046,2023-02-08 23:32:02.174224,0 days 00:03:50.228178,64,1220,47,0.00375,0.0,PRUNED
343,343,0.6755,2023-02-08 23:32:02.213293,2023-02-08 23:35:50.178232,0 days 00:03:47.964939,64,1140,45,0.15,0.0,PRUNED
344,344,0.5958,2023-02-08 23:34:41.767209,2023-02-08 23:38:46.065438,0 days 00:04:04.298229,64,1560,48,0.15,0.0,PRUNED
345,345,0.8623,2023-02-08 23:35:50.237810,2023-02-08 23:38:09.599482,0 days 00:02:19.361672,128,1260,55,0.00375,0.0,PRUNED
346,346,0.8751,2023-02-08 23:38:09.652083,2023-02-08 23:45:03.162347,0 days 00:06:53.510264,64,1800,41,0.00375,0.0,PRUNED
347,347,0.8487,2023-02-08 23:38:46.151249,2023-02-08 23:42:40.027468,0 days 00:03:53.876219,64,2100,52,0.00375,0.0,PRUNED
348,348,0.8601,2023-02-08 23:41:29.881298,2023-02-08 23:45:07.833623,0 days 00:03:37.952325,64,1380,52,0.00375,0.0,PRUNED
349,349,0.9041,2023-02-08 23:42:40.092524,2023-02-09 00:50:01.206308,0 days 01:07:21.113784,64,1360,50,0.00375,0.0,COMPLETE
350,350,0.8585,2023-02-08 23:45:03.221206,2023-02-08 23:52:25.290798,0 days 00:07:22.069592,64,2880,50,0.00375,0.0,PRUNED
351,351,0.8188,2023-02-08 23:45:07.891100,2023-02-08 23:46:15.882614,0 days 00:01:07.991514,512,1200,50,0.00375,0.0,PRUNED
352,352,0.687,2023-02-08 23:45:59.375381,2023-02-08 23:47:03.641808,0 days 00:01:04.266427,512,1140,50,0.00375,0.0,PRUNED
353,353,0.8622,2023-02-08 23:46:15.908234,2023-02-08 23:50:05.362226,0 days 00:03:49.453992,64,1120,54,0.00375,0.0,PRUNED
354,354,0.8505,2023-02-08 23:47:03.698614,2023-02-08 23:50:21.884716,0 days 00:03:18.186102,64,2480,54,0.00375,0.0,PRUNED
355,355,0.9094,2023-02-08 23:50:05.402911,2023-02-09 01:04:49.249393,0 days 01:14:43.846482,64,1180,48,0.00375,4e-06,COMPLETE
356,356,0.9072,2023-02-08 23:50:21.950820,2023-02-09 01:02:56.544513,0 days 01:12:34.593693,64,1240,48,0.00375,4e-06,COMPLETE
357,357,0.9032,2023-02-08 23:52:25.353867,2023-02-09 01:05:47.620231,0 days 01:13:22.266364,64,1240,48,0.00375,4e-08,COMPLETE
358,358,0.9072,2023-02-08 23:54:50.127197,2023-02-09 01:06:26.178332,0 days 01:11:36.051135,64,1080,48,0.00375,4e-06,COMPLETE
359,359,0.8474,2023-02-09 00:16:16.394062,2023-02-09 00:23:17.079018,0 days 00:07:00.684956,64,1180,71,0.00375,4e-06,PRUNED
360,360,0.8358,2023-02-09 00:23:17.162865,2023-02-09 00:29:14.904122,0 days 00:05:57.741257,64,1120,52,0.00375,4e-08,PRUNED
361,361,0.8577,2023-02-09 00:29:14.976868,2023-02-09 00:35:05.391016,0 days 00:05:50.414148,64,1160,48,0.00375,4e-06,PRUNED
362,362,0.8611,2023-02-09 00:35:05.451968,2023-02-09 00:41:10.733881,0 days 00:06:05.281913,64,1220,56,0.00375,4e-06,PRUNED
363,363,0.7321,2023-02-09 00:41:10.775560,2023-02-09 00:47:09.230101,0 days 00:05:58.454541,64,2140,51,0.0125,4e-06,PRUNED
364,364,0.856,2023-02-09 00:47:09.274165,2023-02-09 00:59:28.419197,0 days 00:12:19.145032,64,2220,49,0.00375,4e-06,PRUNED
365,365,0.0837,2023-02-09 00:50:01.260565,2023-02-09 00:52:25.310559,0 days 00:02:24.049994,256,2220,58,0.00375,4e-06,PRUNED
366,366,0.8613,2023-02-09 00:52:25.347651,2023-02-09 00:58:04.898153,0 days 00:05:39.550502,64,1100,48,0.00375,4e-06,PRUNED
367,367,0.1945,2023-02-09 00:58:04.930619,2023-02-09 01:03:17.163689,0 days 00:05:12.233070,64,1180,53,0.115,4e-05,PRUNED
368,368,0.2101,2023-02-09 00:59:28.484919,2023-02-09 01:28:08.209608,0 days 00:28:39.724689,4,1180,53,0.115,4e-08,PRUNED
369,369,0.1179,2023-02-09 01:02:56.602721,2023-02-09 01:29:01.372955,0 days 00:26:04.770234,4,1180,53,0.115,4e-05,PRUNED
370,370,0.8061,2023-02-09 01:03:17.232368,2023-02-09 01:29:12.975705,0 days 00:25:55.743337,4,1280,55,0.00375,4e-08,PRUNED
371,371,0.8186,2023-02-09 01:04:49.290848,2023-02-09 01:31:51.675842,0 days 00:27:02.384994,4,2060,55,0.00375,4e-08,PRUNED
372,372,0.717,2023-02-09 01:05:47.660978,2023-02-09 01:31:08.730284,0 days 00:25:21.069306,4,1280,55,0.00375,0.0,PRUNED
373,373,0.8841,2023-02-09 01:06:26.243425,2023-02-09 01:10:30.076584,0 days 00:04:03.833159,64,1280,55,0.00375,0.0,PRUNED
374,374,0.6401,2023-02-09 01:10:30.148190,2023-02-09 01:33:40.016934,0 days 00:23:09.868744,4,2180,52,0.00375,0.0,PRUNED
375,375,0.8507,2023-02-09 01:28:08.285158,2023-02-09 01:36:45.534414,0 days 00:08:37.249256,16,2180,51,0.00375,0.0,PRUNED
376,376,0.8541,2023-02-09 01:29:01.447429,2023-02-09 01:30:37.735895,0 days 00:01:36.288466,128,2060,51,0.00375,0.0,PRUNED
377,377,0.8616,2023-02-09 01:29:13.035689,2023-02-09 01:37:52.978737,0 days 00:08:39.943048,16,2060,51,0.00375,0.0,PRUNED
378,378,0.8821,2023-02-09 01:30:37.812011,2023-02-09 01:34:43.039433,0 days 00:04:05.227422,64,2180,51,0.00375,0.0,PRUNED
379,379,0.9075,2023-02-09 01:31:08.789948,2023-02-09 02:10:11.892096,0 days 00:39:03.102148,64,2100,46,0.00375,0.0,COMPLETE
380,380,0.8565,2023-02-09 01:31:51.747191,2023-02-09 01:41:11.487980,0 days 00:09:19.740789,16,2160,46,0.00375,0.0,PRUNED
381,381,0.9051,2023-02-09 01:33:40.066560,2023-02-09 02:12:51.521237,0 days 00:39:11.454677,64,2340,46,0.00375,0.0,COMPLETE
382,382,0.8572,2023-02-09 01:34:43.118592,2023-02-09 01:37:02.547373,0 days 00:02:19.428781,64,2100,47,0.00375,0.0,PRUNED
383,383,0.8452,2023-02-09 01:36:45.611751,2023-02-09 01:39:34.842506,0 days 00:02:49.230755,64,2100,46,0.00375,0.0,PRUNED
384,384,,2023-02-09 01:37:02.621742,,,64,2360,46,0.00375,0.0,RUNNING
385,385,0.8313,2023-02-09 01:37:53.051139,2023-02-09 01:40:32.888456,0 days 00:02:39.837317,64,1220,46,0.00375,0.0,PRUNED
386,386,0.5804,2023-02-09 01:39:34.927357,2023-02-09 01:42:07.921820,0 days 00:02:32.994463,64,1120,45,0.075,0.0,PRUNED
387,387,0.6032,2023-02-09 01:40:32.931649,2023-02-09 01:43:14.556142,0 days 00:02:41.624493,64,2340,49,0.075,4e-07,PRUNED
388,388,0.4536,2023-02-09 01:41:11.543875,2023-02-09 01:43:57.645668,0 days 00:02:46.101793,64,1120,40,0.075,4e-07,PRUNED
389,389,0.8848,2023-02-09 01:42:07.969215,2023-02-09 01:47:37.307245,0 days 00:05:29.338030,64,2340,49,0.00375,0.0,PRUNED
390,390,0.8562,2023-02-09 01:43:14.596688,2023-02-09 01:45:50.552751,0 days 00:02:35.956063,64,1980,41,0.00375,0.0,PRUNED
391,391,0.8286,2023-02-09 01:43:57.692437,2023-02-09 01:46:47.969246,0 days 00:02:50.276809,64,1140,49,0.00375,0.0,PRUNED
392,392,0.78,2023-02-09 01:45:50.606728,2023-02-09 01:48:32.730968,0 days 00:02:42.124240,64,1060,50,0.0125,0.0,PRUNED
393,393,0.8823,2023-02-09 01:46:48.026926,2023-02-09 01:52:28.853090,0 days 00:05:40.826164,64,1040,50,0.00375,0.0,PRUNED
394,394,0.771,2023-02-09 01:47:37.353909,2023-02-09 01:50:21.078345,0 days 00:02:43.724436,64,2260,45,0.0125,0.0,PRUNED
395,395,0.8516,2023-02-09 01:48:32.782841,2023-02-09 01:51:10.740245,0 days 00:02:37.957404,64,1880,44,0.00375,0.0,PRUNED
396,396,0.8359,2023-02-09 01:50:21.134524,2023-02-09 01:53:10.346455,0 days 00:02:49.211931,64,1240,53,0.00375,0.0,PRUNED
397,397,0.8723,2023-02-09 01:51:10.783111,2023-02-09 01:56:47.492480,0 days 00:05:36.709369,64,1220,53,0.00375,4e-08,PRUNED
398,398,0.4746,2023-02-09 01:52:28.885443,2023-02-09 01:55:24.705452,0 days 00:02:55.820009,64,2440,53,0.15,4e-08,PRUNED
399,399,0.844,2023-02-09 01:53:10.400966,2023-02-09 01:55:57.642772,0 days 00:02:47.241806,64,1200,47,0.00375,4e-08,PRUNED
400,400,0.8348,2023-02-09 01:55:24.736483,2023-02-09 01:58:13.593421,0 days 00:02:48.856938,64,1200,48,0.00375,0.0,PRUNED
401,401,0.9056,2023-02-09 01:55:57.691463,2023-02-09 02:54:43.808509,0 days 00:58:46.117046,64,1160,42,0.00375,0.0,COMPLETE
402,402,0.9112,2023-02-09 01:56:47.541986,2023-02-09 02:58:51.305055,0 days 01:02:03.763069,64,1320,57,0.00375,0.0,COMPLETE
403,403,0.7228,2023-02-09 01:58:13.646731,2023-02-09 01:59:34.379540,0 days 00:01:20.732809,256,1160,57,0.00375,0.0,PRUNED
404,404,0.8611,2023-02-09 01:59:34.424476,2023-02-09 02:02:20.140174,0 days 00:02:45.715698,64,1320,42,0.00375,0.0,PRUNED
405,405,0.874,2023-02-09 02:02:20.198101,2023-02-09 02:08:02.673647,0 days 00:05:42.475546,64,1780,51,0.00375,0.0,PRUNED
406,406,0.9084,2023-02-09 02:08:02.722962,2023-02-09 03:18:08.744528,0 days 01:10:06.021566,64,2120,46,0.00375,0.0,COMPLETE
407,407,0.8231,2023-02-09 02:10:11.930233,2023-02-09 02:11:47.995856,0 days 00:01:36.065623,128,2140,37,0.00375,0.0,PRUNED
408,408,0.9044,2023-02-09 02:11:48.041021,2023-02-09 03:21:22.590192,0 days 01:09:34.549171,64,2020,44,0.00375,0.0,COMPLETE
409,409,0.8868,2023-02-09 02:12:51.576646,2023-02-09 03:22:11.099445,0 days 01:09:19.522799,64,1260,44,0.00375,0.0,PRUNED
410,410,0.8499,2023-02-09 02:54:43.845214,2023-02-09 03:01:19.324012,0 days 00:06:35.478798,64,1240,97,0.00375,0.0,PRUNED
411,411,,2023-02-09 02:58:51.351757,,,64,1320,56,0.00375,0.0,RUNNING
412,412,0.7681,2023-02-09 03:01:19.398560,2023-02-09 03:02:58.440820,0 days 00:01:39.042260,512,1320,58,0.00375,0.0,PRUNED
413,413,0.8591,2023-02-09 03:02:58.484184,2023-02-09 03:08:02.275054,0 days 00:05:03.790870,64,1280,56,0.00375,0.0,PRUNED
414,414,0.8543,2023-02-09 03:08:02.322301,2023-02-09 03:13:03.186108,0 days 00:05:00.863807,64,2000,52,0.00375,0.0,PRUNED
415,415,0.8672,2023-02-09 03:13:03.242600,2023-02-09 03:47:15.829300,0 days 00:34:12.586700,64,1300,54,0.00375,4e-05,PRUNED
416,416,0.8655,2023-02-09 03:18:08.784139,2023-02-09 03:23:19.585651,0 days 00:05:10.801512,64,2540,54,0.00375,4e-05,PRUNED
417,417,0.8631,2023-02-09 03:21:22.619896,2023-02-09 03:25:45.342430,0 days 00:04:22.722534,64,1260,58,0.00375,4e-05,PRUNED
418,418,0.8322,2023-02-09 03:22:11.143595,2023-02-09 03:26:21.731564,0 days 00:04:10.587969,64,1340,61,0.00375,4e-05,PRUNED
419,419,0.873,2023-02-09 03:23:19.654283,2023-02-09 03:31:27.557535,0 days 00:08:07.903252,64,2400,62,0.00375,4e-08,PRUNED
420,420,0.7922,2023-02-09 03:25:45.393344,2023-02-09 03:29:44.029465,0 days 00:03:58.636121,64,1940,61,0.00375,4e-08,PRUNED
421,421,0.9034,2023-02-09 03:26:21.779997,2023-02-09 04:03:21.009795,0 days 00:36:59.229798,64,1860,50,0.00375,4e-08,COMPLETE
422,422,0.5043,2023-02-09 03:29:44.064018,2023-02-09 03:33:42.773325,0 days 00:03:58.709307,64,1840,63,0.15,0.0,PRUNED
423,423,0.584,2023-02-09 03:31:27.614365,2023-02-09 03:35:24.177488,0 days 00:03:56.563123,64,1140,50,0.15,0.0,PRUNED
