,number,value,datetime_start,datetime_complete,duration,params_hidden,params_leave_layers,params_lr,params_weight_decay,state
482,482,0.173828125,2023-02-07 19:25:09.685366,2023-02-07 19:26:21.885396,0 days 00:01:12.200030,1489,61,0.0125,4e-05,PRUNED
483,483,0.7727864583333334,2023-02-07 19:25:16.725414,2023-02-07 19:26:29.146402,0 days 00:01:12.420988,1492,61,0.00375,4e-05,PRUNED
484,484,,2023-02-07 19:25:33.894416,,,1504,51,0.00375,4e-05,RUNNING
485,485,0.15690104166666666,2023-02-07 19:25:47.491199,2023-02-07 19:26:51.813655,0 days 00:01:04.322456,1512,61,0.0125,4e-05,PRUNED
486,486,0.10514322916666667,2023-02-07 19:25:48.051327,2023-02-07 19:26:49.381410,0 days 00:01:01.330083,1501,61,0.0125,4e-05,PRUNED
487,487,0.759765625,2023-02-07 19:26:21.902727,2023-02-07 19:27:19.810695,0 days 00:00:57.907968,1483,51,0.00375,4e-05,PRUNED
488,488,0.7744140625,2023-02-07 19:26:29.162197,2023-02-07 19:27:33.093072,0 days 00:01:03.930875,1428,51,0.00375,4e-05,PRUNED
489,489,0.8131510416666666,2023-02-07 19:26:49.403063,2023-02-07 19:27:53.620682,0 days 00:01:04.217619,1541,51,0.00375,4e-08,PRUNED
490,490,0.8186848958333334,2023-02-07 19:26:51.834866,2023-02-07 19:27:59.541829,0 days 00:01:07.706963,1452,51,0.00375,4e-08,PRUNED
491,491,0.7763671875,2023-02-07 19:27:19.832855,2023-02-07 19:28:17.640609,0 days 00:00:57.807754,1440,51,0.00375,4e-08,PRUNED
492,492,0.5302734375,2023-02-07 19:27:33.111729,2023-02-07 19:28:33.227692,0 days 00:01:00.115963,1559,51,0.00375,4e-08,PRUNED
493,493,0.7893880208333334,2023-02-07 19:27:53.640040,2023-02-07 19:28:55.723165,0 days 00:01:02.083125,1593,51,0.00375,4e-05,PRUNED
494,494,0.8987630208333334,2023-02-07 19:27:59.555738,2023-02-07 19:33:39.410569,0 days 00:05:39.854831,1413,51,0.00375,4e-05,COMPLETE
495,495,0.8180338541666666,2023-02-07 19:28:17.667701,2023-02-07 19:29:16.766704,0 days 00:00:59.099003,1601,51,0.00375,4e-05,PRUNED
496,496,0.8004557291666666,2023-02-07 19:28:33.242562,2023-02-07 19:29:32.310215,0 days 00:00:59.067653,1411,51,0.00375,4e-05,PRUNED
497,497,0.08658854166666667,2023-02-07 19:28:40.253432,2023-02-07 19:29:44.466598,0 days 00:01:04.213166,1595,51,0.15,4e-05,PRUNED
498,498,0.1787109375,2023-02-07 19:28:55.742494,2023-02-07 19:31:43.518040,0 days 00:02:47.775546,1391,51,0.00375,4e-05,PRUNED
499,499,0.087890625,2023-02-07 19:29:16.791630,2023-02-07 19:30:05.873023,0 days 00:00:49.081393,1454,51,0.15,4e-05,PRUNED
